disease_name,age_range,gender,body_parts,symptoms,treatment,url
Iron deficiency anemia,,Both men and women but more common in women,"Red blood cells
Blood","Iron deficiency anemia can range from mild to severe. People with mild or moderate iron-deficiency anemia may not show any signs or symptoms. But, as the anemia generally worsens the condition becomes more severe.  A few symptoms of iron-deficiency anemia are:, Hair loss, Rapid heartbeat, Pale yellow skin, Unexplained fatigue or lack of energy, Shortness of breath or chest pain, Sore or swollen tongue, Enlarged spleen, Dysphagia (difficulty in swallowing) due to formation of esophageal webs (Plummer–Vinson syndrome), Irritability, Pica (desire to eat peculiar substances such as dirt or ice), Brittle nails, Tingling or crawling feeling in the legs, Generalized weakness, Headache",Treatment guidelines from the American College of Physicians (ACP) for adult patients with anemia and iron deficiency include the following:,https://www.1mg.com/diseases/iron-deficiency-anemia-328
Low Immunity,,Both men and women,"Blood
WBCs
Immune System
Spleen
Lymph nodes","Autoimmune disorders, Blood disorders or abnormalities, such as anemia, Gastrointestinal tract, causing vomiting, diarrhea., Respiratory tract, such as bronchitis, sinusitis, pneumonia., Additionally, people with a weak immune system may be more likely to experience:, Digestive issues, including loss of appetite, diarrhea, and abdominal cramping, Inflammation of the internal organs, The primary symptom of a weakened immune system is susceptibility to infection. You may be suffering from low immunity if you have the following symptoms:, Urinary tract which causes a burning sensation or passing blood with urination and other symptoms of infections, such as rashes, etc., A person with a weakened immune system is likely to get infections more frequently than most other people, and these illnesses might be more severe or harder to treat. Infections that people with a weak immune system often get include pneumonia, meningitis, bronchitis, and skin diseases. Moreover, these infections may recur with a high frequency., Growth and developmental delays in infants and children., Abnormal blood counts such as low platelets or low white blood cells., Chronic fatigue, tiredness, and breathlessness are also common in patients with low immunity., Frequent infections of the  Respiratory tract, such as bronchitis, sinusitis, pneumonia. Gastrointestinal tract, causing vomiting, diarrhea. Urinary tract which causes a burning sensation or passing blood with urination and other symptoms of infections, such as rashes, etc., Infections that are considered mild among the general population may often present with severe symptoms in immunocompromised individuals.","The treatment for low immunity is vast and consists of supplements for nutritional deficiencies to increase/strengthen the immune system, managing or preventing infections and treating specific underlying disorders.",https://www.1mg.com/diseases/low-immunity-907
Benign prostatic hyperplasia,,Men,"Prostate gland 
Bladder 
Kidney","Dribbling at the end of urine flow, Chills or fever while urinating, Pain while urinating or ejaculation, Blood in urine, Trouble in starting urination or straining to pass urine, In severe cases, BPH can lead to bladder damage and infection. In such cases, you can spot blood in the urine. It can also cause kidney damage, if left untreated for a long time and can lead on to development of chronic kidney disease and renal failure.  Here are a few common causes of frequent urination and why you should not ignore this symptom. Click To Read!, Weak urine flow, Urine that looks or feels different, Experiencing pain in the lower part of abdomen or genitals during urination, Inability to urinate, Damage to kidneys because of backpressure caused due to retention of large amounts of urine in the bladder, Need to start and stop urine several times, Urge to urinate frequently, Increase in the urgency to urinate, If your condition worsens with time, then you might experience:, Increased need to get up at night to urinate, Development of bladder stone, Benign prostatic hyperplasia can cause several symptoms that affect your urine flow. It is possible to experience more than one symptom at the same time. Some of the common symptoms are:, Bladder infection, Decreased flow of urine, Pus in urine, Sensation of incomplete bladder emptying","BPH can be managed through several kinds of treatment modalities. The best approach is decided based on the patient's age, overall wellbeing, underlying cause and severity of the disorder. If your symptoms are tolerable, your doctor might advise you to postpone treatment and monitor the condition for some time. The treatments include:",https://www.1mg.com/diseases/benign-prostatic-hyperplasia-91
"Hand, Foot, and Mouth Disease",,Both men and women,"Hand
Foot
Mouth","Hand, foot, and mouth disease (HFMD) is mostly a childhood illness though it can affect adults also. The symptoms are usually the same in children and adults. But, the disease can be worse in infants and children due to their inability to express their symptoms.  The disease is mild, resembling a common cold in the initial days of infection. In most cases, symptoms last for 7-10 days.   As the name suggests, symptoms appear on the hand, foot and mouth in the form of sores, blisters and rashes. The typical symptoms of HFMD can be broadly classified as:","There is no specific treatment for HFMD and children usually recover within 7 to 10 days on their own. As HFMD is a viral disease, antibiotics are not effective in curing the infection. The measures are taken to reduce symptoms and to prevent dehydration.",https://www.1mg.com/diseases/hand-foot-and-mouth-disease-953
Hay fever,,Both men and women,"Throat
Nose
Mouth
Ears","Shortness of breath, Wheeze and cough, Pain around your temples and forehead, Shop for our ‘Cold And Cough’ Range Click Here, If you have asthma, you might also experience:, Itching in the eyes, nose, roof of the mouth, and back of the throat, Mouth breathing, A tight feeling in your chest, Common symptoms of hay fever include:, Note: Hay fever will last for weeks or months, unlike a cold, which usually goes away after 1 to 2 weeks., Red, itchy, and watery eyes, Runny nose and sniffing, Earache, Sneezing, Headache, Loss of smell and taste, Blocked nose",,https://www.1mg.com/diseases/hay-fever-784
Sleep apnea,,Both men and women but more common in men.,"Soft palate
Tonsils
Uvula
Tongue","Sleep apnea manifests through various symptoms, affecting sleep quality. These include:",,https://www.1mg.com/diseases/sleep-apnea-965
Thalassemia,,Both men and women,Blood,"Symptoms of thalassemia generally occur during childhood or late adolescence. For people with thalassemia minor, the symptoms may not be visible. However, people suffering from thalassemia major may experience a wide range of symptoms. The severity of the symptoms may also vary and depend on the type of thalassemia.  Some of the common signs and symptoms of thalassemia include:, Another common symptom of thalassemia is weak bones. An increase in the amount of iron in the body may reduce or interfere with the absorption of calcium and Vitamin D. This may lead to weak and brittle bones over time., It is caused as the hemoglobin cannot carry enough oxygen to various parts of the body. The muscles do not receive enough oxygen and reduce the amount of energy produced by the body., In people with thalassemia, there may be an increase in the breakdown of red blood cells in the body. This may lead to an excess release of bilirubin from the cells, which may cause your urine to become darker., Anemia can cause the growth of a child to slow down. Puberty may also be delayed in children with thalassemia., Some people with thalassemia may have extremely pale or yellowish skin as this condition reduces red blood cells in the body., People with thalassemia can get an overload of iron in their bodies, either from the disease itself or from frequent blood transfusions. Too much iron can result in damage to the heart, liver, and endocrine system, which includes glands that produce hormones that regulate processes throughout the body. The damage is characterized by excessive deposits of iron. Without adequate iron chelation therapy, almost all patients with beta-thalassemia accumulate potentially fatal iron levels., The spleen aids in fighting infection and filters unwanted material such as old or damaged blood cells. Thalassemia is often accompanied by the destruction of a large number of red blood cells and the task of removing these cells causes the spleen to enlarge. Splenomegaly can make anemia worse, and it can reduce the life of transfused red blood cells. Severe enlargement of the spleen may necessitate its removal., In some cases, thalassemia may lead to an expansion in the bones, which in turn may cause the bones in your face to widen., People with thalassemia have an increased risk of infection. This is especially true if the spleen has been removed.","People who have thalassemia minor and show mild symptoms may not require any treatment. However, for people with moderate to severe thalassemia, the following treatments may be required:",https://www.1mg.com/diseases/thalassemia-821
Vomiting,,"Both male and female, but more common in women.","Stomach
Food pipe (Oesophagus)","Vomiting is a common gastrointestinal complaint that can be triggered by a lot of stimuli and it is considered a defense mechanism against toxins, drugs, bacteria, viruses, and fungi that enter the body. Symptoms associated with vomiting include:",,https://www.1mg.com/diseases/vomiting-59
Down syndrome,,Both men and women,"Heart
Large intestine
Small intestine
Bones
Joints
Eyes
Ears
Blood","It is caused due to a gene mutation in a chromosome. Both mother and father contribute one each to form a single pair of chromosomes in a child, which creates the unique genetic code of a child. However, due to certain maternal or environmental factors, chromosomes may mutate and the baby can be born with an extra copy of chromosome 21.  Chromosomes are a bundle of genes which are inherited by the child from its parents. Chromosomes come in pairs, and our body needs just the right number of pairs for the development of the body. There are 23 pairs of chromosomes in all healthy individuals. It is due to this extra copy of chromosome 21 that a child develops the characteristic physical and developmental problems associated with Down syndrome.",,https://www.1mg.com/diseases/down-syndrome-900
Dysentery,,Both men and women,"Large intestine
Small intestine
Rectum
Stomach",The symptoms of dysentery may take up to 3 days to manifest once the person contracts the infection. A person suffering from a bout of dysentery will generally experience the following symptoms:,,https://www.1mg.com/diseases/dysentery-721
Period pain (menstrual cramps),,Women,Reproductive organs,"Mild pain and discomfort during menstrual periods are normal. However, excessive pain and cramping that interfere with your daily activity or work are not normal. Dysmenorrhea can be classified into two types:",,https://www.1mg.com/diseases/period-pain-menstrual-cramps-955
Febrile Seizure,,Both male and female children,Brain,"Twitching or jerking of arms and legs, Loss of consciousness or unresponsiveness (blackout), Breathing difficulty, Eye rolling or deviation during the seizure, High fever (above 100.4°F / 38°C), Bluish skin due to temporary oxygen deprivation, Sudden onset without warning, Muscle stiffness, Foaming at the mouth, Post-seizure irritability and delayed response (10-15 minutes to fully awaken), Here are the typical symptoms of a febrile seizure-","If your child experiences a febrile seizure, follow these steps to ensure their safety:",https://www.1mg.com/diseases/febrile-seizure-1035
Eye strain,,Both men and women but more common in women,Eyes,"Redness and irritation in the eyes, Difficulty in focusing, Grittiness in the eyes, Double or blurred vision, If symptoms persist or worsen, consulting with an eye care professional is advisable for a proper diagnosis and guidance on managing eye strain. Book A Consultation Now, It can occur when your eyes become tired from intense use or extended periods of focused activity, such as staring at a computer screen or reading for a long time. Symptoms of eye strain may include:, Pain or strain in the back, neck, or shoulder, The inability to keep eyes open, Watery or dry eyes, Sensitivity to light (photophobia), Tired, aching, or heavy eyelids., Headache","While no specific medication exists for treating eye strain, adopting various strategies can effectively manage and alleviate symptoms. Lifestyle changes, ergonomic adjustments, and specialized eyewear can make a significant difference.",https://www.1mg.com/diseases/eye-strain-541
Chikungunya,,Both men and women but more common in women,"Blood
Brain
Heart
Lungs
Kidneys
Skin
Joints","Knee pain, The symptoms of chikungunya typically appear 2 to 12 days after a person has been bitten by an infected mosquito. The most common symptoms of chikungunya include:, Abnormal bleeding tendency, Shoulder pain, Severe joint pain and swelling, Abrupt onset of fever or chills, Muscular pain, Fatigue or tiredness, Nausea, Skin blistering, Rashes and redness of the skin, Joint stiffness, Headache","The main treatment for Chikungunya fever focuses on relieving symptoms, such as drinking enough fluids, resting, and using paracetamol for pain and fever relief. The treatment can be broadly divided into two phases:",https://www.1mg.com/diseases/chikungunya-967
Dry Skin,,Both men and women but more common in women,Skin,"Dry skin can also cause cracks to form due to shrinking of the skin. These cracks can become deep and may bleed also., As the name itself suggests, the typical sign of dry skin is dryness of skin because of lack of moisture and natural oils. It also causes fine lines on the skin that sometimes itches., Dry skin also causes itching. Some people experience itching all the time that interferes with routine chores such as driving, sleeping, etc.   Irritated with continuous itching? Check out some home remedies to fight it better.  Tap To Read!, Excessive loss of moisture also causes flaking of skin that gives a rough texture to the skin., Peeling refers to the renewal of the uppermost layer of skin – epidermis. It is a natural process to shed dead skin cells. Dry skin increases the shedding process which causes skin to peel off easily., Dry skin is mostly seasonal, typically occurring during winters. The symptoms may vary based on a person's age, skin tone, health conditions, living environment and can include:, The already cracked and flaked skin often feels painful as well. The exposure to even water causes burning sensation to the skin of people affected with dry skin., The skin of people with dry skin loses its strength due to loss of water and develops a rough texture. This is most common at old age., The people affected with dry skin are more prone to skin infections due to the breaks and cracks in the skin. The cracks allow the penetration of microbes inside the skin that can lead to infections such as fungal skin infections.   Read in detail about fungal skin infections.  Click To Read!",,https://www.1mg.com/diseases/dry-skin-556
Kawasaki Disease,,Both boys and girls. More common in boys.,"Blood vessels of the entire body
Skin
Eyes
Mucous membranes
Lymph nodes of the neck
Kidneys","High fever (102.2 F or 39 C), Joint pain or discomfort, However, fatigue, irritability, and low energy can persist for up to eight weeks., Vomiting, Kawasaki disease (KD) generally affects children between the ages of 0-5 years. The signs and symptoms of Kawasaki disease usually occur in three phases. Initial symptoms of KD include:, Red, swollen skin on the palms of the hands and soles of the feet, Diarrhea, Symptoms usually fade in this phase, unless complications arise., Red, dry, and cracked, lips, Peeling of the skin on the hands and feet, A rash on the trunk of the body and in the genital area, Conjunctivitis (bloodshot eyes) without a heavy discharge, Stomachache, Cervical lymphadenopathy (neck lymph nodes that are swollen), Strawberry tongue (tongue appears red, swollen, and covered with a bumpy texture)",,https://www.1mg.com/diseases/kawasaki-disease-1042
Bloating,,Both men & women,"Stomach
Large intestine
Small intestine
Oesophagus","The normal digestive process that breaks down the food, mainly starch and cellulose containing food, into soluble easy to digest form, releases gas as a by-product.  However, certain conditions may result in excessive gas formation, which may cause troublesome symptoms. For example:",,https://www.1mg.com/diseases/bloating-63
Nutritional deficiencies,,Both men and women but more common in women,,"Hair loss, Muscle cramps, Dry eyes, Dryness in the lips, skin, and nails, Growth retardation, Loss of teeth, Muscle wasting, Higher susceptibility to infections, Swollen belly, Reduced sensitivity to light, Vision loss, Loss of appetite, Body fat wasting, Weight loss, Nutrients are the principal source of energy. They are also involved in several bodily functions like healing and repairing wounds, normal vision, growth and development of bones, keeping nerve cells healthy amongst other functions.  In most of the cases, symptoms start to develop 8 to 12 weeks after inadequate intake of nutrients. In some cases, symptoms are difficult to be noticed because symptoms may not occur for several months or years.   Symptoms can be non-specific, often resembling other medical conditions. Therefore, it is necessary to conduct a medical examination for confirmation. Some generic signs and symptoms may include:, Tiredness, Reduced wound healing, Poor growth of bones","The primary treatment approach is to correct the deficiency through the diet. The treatment usually depends upon the duration and severity of symptoms. 

Supplements that are usually taken orally are given.  Intravenous supplements are given in case of serious symptoms. The treatment options include:",https://www.1mg.com/diseases/nutritional-deficiencies-323
Hernia,,"Both men and women, but more common in men.","Stomach
Groin
Belly button
Diaphragm
Leg",Hernia is the bulging of internal organs and based on the location it can be of different types. Some of the most common types include:,,https://www.1mg.com/diseases/hernia-551
Earwax,,Both men and women,Ear,"Earwax acts as a natural barrier that prevents bacteria and dirt from entering the innermost parts of the ears. But, if it builds up, it can cause severe ear pain and infections by irritating your ears wall and preventing you from hearing well. Earwax build-up and blockage may cause the following symptoms:",,https://www.1mg.com/diseases/earwax-542
Hangover,,Both men and women,,,,https://www.1mg.com/diseases/hangover-573
Gynaecomastia,,Male,Breast,The basic signs and symptoms are,,https://www.1mg.com/diseases/gynaecomastia-985
Shingles,,Both men and women but more common in women,,"Pain, burning, tingling, or itching in a localized area, usually on one side of the body or face., Timeframe: 1-4 days before the rash appears., The rash turns into fluid-filled blisters, which then burst and crust over in 1-2 weeks., Symptoms:, Transmission to others: If a person who has never had chickenpox or hasn't been vaccinated is exposed to someone with shingles, they can contract chickenpox, not shingles. However, they could potentially develop shingles later in life if the virus remains dormant in their body., Is Shingles Contagious?, Pain may continue during the healing stage, especially if complications like postherpetic neuralgia (PHN) occur., The rash starts to heal as lesions dry up and fall off, though scarring or skin discoloration may remain., Yes, shingles is contagious, but the way it spreads is different from other viral infections like the flu or cold., Cover the rash to minimize exposure to others., The symptoms of shingles (herpes zoster) usually appear in three stages:, Shingles patients are contagious once the blisters appear. The virus (varicella-zoster virus or VZV) can be spread by direct contact with the fluid from the shingles blisters or through the air if the fluid from the blisters is inhaled., A red rash typically appears as a band or strip on one side of the body, often on the trunk, face, or neck., The rash is usually painful and may be accompanied by itching or a burning sensation., Note: People with chickenpox are more likely to spread VZV than those with shingles. While Shingles itself is not as contagious as chickenpox, it still requires precautions to prevent the spread of the virus:, Systemic symptoms like fever, headache, fatigue, and swollen lymph nodes in the affected area may occur., Stabbing pain that can be intermittent., Symptoms:  Pain, burning, tingling, or itching in a localized area, usually on one side of the body or face.  Stabbing pain that can be intermittent.  Systemic symptoms like fever, headache, fatigue, and swollen lymph nodes in the affected area may occur., Timeframe: 2-4 weeks for most individuals., Symptoms:  A red rash typically appears as a band or strip on one side of the body, often on the trunk, face, or neck.  The rash turns into fluid-filled blisters, which then burst and crust over in 1-2 weeks.  The rash is usually painful and may be accompanied by itching or a burning sensation., Avoid close contact with individuals who are at higher risk of complications, such as pregnant women, newborns, and those with weakened immune systems., Timeframe: 7-10 days after the prodrome.",,https://www.1mg.com/diseases/shingles-350
Lactose intolerance,,Both men and women,Digestive tract,The symptoms of lactose intolerance usually begin 30 minutes to 2 hours after consuming lactose-containing products. The undigested lactose build up in the intestine and cause:,,https://www.1mg.com/diseases/lactose-intolerance-966
HIV infection,,Both men and women but more common in women,Immune system,"Rashes, There are several symptoms of HIV infection which vary from person to person and also as per the stage of the infection. The three stages of HIV infection are:, Symptoms of AIDS include:, Swollen lymph glands, mainly on the neck, Night sweats, If a person is having HIV and is not on HIV treatment, gradually the virus will weaken the immune system and progress to AIDS. A diagnosis of AIDS is made in any individual age 6 years and older with HIV infection and a CD4+ T cell count <200 per microliter and in anyone with HIV infection who develops one of the HIV associated diseases considered to be indicative of a severe defect in cell mediated immunity., Extreme tiredness, Sores of the mouth and anus, Memory loss and depression, Rapid weight loss, Pneumonia, In this stage, the virus is getting multiplied, but at a very low level. There are no detectable signs and symptoms in this stage. This stage is called Chronic HIV infection. Although the length of time from initial infection to the development of clinical disease varies greatly, the median time for untreated patients is ~10 years. The rate of ongoing progression is directly correlated with HIV RNA levels. Patients with high levels of HIV RNA in plasma progress to symptomatic disease faster than do patients with low levels of HIV RNA. The transmission of HIV is highest during this stage if viral load is detected in the blood. There is a risk of transmitting HIV to your sexual partner., Headache, Each of these symptoms can lead to another illness. Many of the severe symptoms of HIV are opportunistic infections. These infections come into action when the immune system of the body weakens., Mouth ulcers or genital ulcers, It is estimated that 50-70% of individuals with HIV infection experience a flu-like illness within 2 to 4 weeks after a primary infection. This is known as primary or acute HIV infection and lasts for weeks. Some people do not have any symptoms during this phase. The symptoms can include:, Joint Pain, Fever, Chills, Recurring fever, Fatigue","There is no cure for HIV as of now, there are very effective treatments that enable most people with the virus to live a healthy and long life.",https://www.1mg.com/diseases/hiv-infection-284
Dental cavities,,Both men and women,Teeth,"Bad breath or foul taste in the mouth., Sensitivity to hot, cold, or sweet foods, Dental cavities often develop silently in the early stages but can cause noticeable discomfort as they progress. Common symptoms include:, Tooth surface discoloration (white, brown, or black), Pain while chewing or biting, Dental pain, Visible holes or dark spots on teeth, Good oral hygiene is key to preventing cavities and gum disease and maintaining overall health. Explore Tata 1mg’s oral care range for healthy teeth and gums. Shop Now",,https://www.1mg.com/diseases/dental-cavities-404
Color blindness,,Both men and women but is more common in men,Eyes,,,https://www.1mg.com/diseases/color-blindness-964
Type 2 diabetes mellitus,,Both men and women,"Pancreas
Eyes
Nerves
Feet
Heart
Kidneys
Skin
Reproductive system","Blurry eyesight, Unexplained weight loss, Delayed healing of cuts and other injuries, Frequent yeast infections, Increased hunger, Type 2 diabetes is initially asymptomatic, which means it does not show symptoms for a long time. Moreover, it progresses at a very slow pace, which makes it difficult for any of the key warning signs to appear early. This is the reason why it is often said that NO symptoms are one of the most common symptoms of type 2 diabetes.  However, there are some symptoms that may indicate type 2 diabetes which include:, Areas of darkened skin, usually affecting the armpits and neck, Lack of energy/fatigue, Dry skin, Frequent urination, Excessive thirst, Numbness or tingling in the hands or feet","Diabetes can be treated with medications and injections along with few lifestyle modifications. Based on your blood glucose level, your doctor might recommend medicines/injections to control diabetes. Some of the common types of medicines for diabetes include:",https://www.1mg.com/diseases/type-2-diabetes-mellitus-105
Migraine,,Both men and women but more common in women,"Brain
Blood vessels
Neurons","Prodromal phase: Also known as the premonitory phase. In this stage, the symptoms tend to occur 24 to 48 hours before the onset of a headache. Some of the common symptoms seen in this stage include increased yawning, irritability, neck stiffness, craving for specific foods, and depression.",,https://www.1mg.com/diseases/migraine-158
Urinary incontinence,,Both men and women but more common in women,"Urethra
Urinary bladder","Being unable to hold urine, Bedwetting (leaking urine during sleeping), Frequent urination (more than 8 times a day), Urinary incontinence is not a disease, rather it is usually a symptom of underlying health problems. The symptoms of urinary  incontinence include:, Feeling of wetness, Being unable to react toilet in time, Feeling of incomplete emptying of bladder, Leaking urine during normal day to day activities such as lifting weights, coughing, sneezing, laughing, exercising without any urge to urinate, Leaking urine during sexual activity",,https://www.1mg.com/diseases/urinary-incontinence-954
Placenta previa,,Women,Female reproductive organs,,,https://www.1mg.com/diseases/placenta-previa-968
Ectopic pregnancy,,Women,"Uterus
Fallopian tube
Cervix
Abdominal cavity
Ovary",,,https://www.1mg.com/diseases/ectopic-pregnancy-962
Inflammatory Bowel Disease,,Both men and women but more common in women,"Oral Cavity
Esophagus
Liver
Stomach
Small Intestine
Terminal Ileum
Large Intestine/Colon
Kidneys
Gallbladder
Rectum
Anus","Painful sores in the mouth, Constipation, Rashes, ulcers, and sores on the skin, Nausea and vomiting, Fecal incontinence (passing stool at unexpected times), Redness, pain in the eyes and blurred vision., The urgency to have a bowel movement, Joint pain, Note: Iron deficiency anemia is common in IBD. Individuals who have IBD often experience iron deficiency anemia (IDA) as a result of ongoing blood loss along with hindered absorption of iron caused by inflammation in the tissues.  Listen to our expert talk about iron deficiency anemia., Stomach pain, Diarrhea associated with blood or mucus",,https://www.1mg.com/diseases/inflammatory-bowel-disease-751
Rheumatic fever,,Both boys and girls,"Heart
Joints
Nervous system 
Skin","Chest pain, Large joints, Shortness of breath, Behavioral disturbance, Fever, Symptoms usually appear 1 to 5 weeks after a bacterial throat infection and they may vary among individuals. Common symptoms include:, Fatigue, Small painless lumps under the skin, Scarlet fever is characterized by a pink, bumpy rash, due to group A streptococci infection in the throat or skin and is usually treated with antibiotics. However, if scarlet fever isn't effectively treated, it might progress into rheumatic fever, a more serious condition., Heart failure, Joint and muscle pain particularly in the knees, and ankles, Swollen, red tonsils, Sore throat, Jerky, uncontrollable body movements (Sydenham chorea) — most often in the hands, feet, and face, In severe cases","The treatment of rheumatic fever aims to address the infection, alleviate symptoms, manage inflammation, and prevent recurrence. The following approaches are commonly employed:",https://www.1mg.com/diseases/rheumatic-fever-592
Prostatitis,,Men,Prostate gland,"Urinary retention, Type 1 prostatitis is an acute bacterial infection. Its signs & symptoms have an abrupt onset and it is caused by an ascending urinary tract infection. This means that the bacteria which cause the urinary tract infection travels up the urethra and infect the surrounding areas, including the prostate gland.   The symptoms of type 1 prostatitis include:, Nausea and vomiting, Urinary blockage, Chronic pelvic pain may affect the penis, scrotum, and perineum areas, Myalgia (muscle pain), Nocturia (frequent urination during periods of sleep), Pain during and after ejaculation, Pain when peeing, needing to pee frequently (particularly at night), problems starting or ""stop-start"" peeing, an urgent need to pee and, sometimes, blood in your urine, A weak or an interrupted urine stream, Pain, which may be severe, in or around your penis, testicles, anus, lower abdomen or lower back – pooing can be painful, The term 'prostatitis' is used to describe four different conditions that affect the prostate gland. Only two of these are related to urinary tract infections (UTIs).  The signs and symptoms of prostatitis vary depending on the cause. Moreover, many symptoms of prostatitis are common to those of other conditions. Based on the type of prostatitis, the symptoms which a person may experience are:, The symptoms of type 2 prostatitis or CBP are similar to ABP (type 1), except the symptoms are chronic, recurrent, and less severe. It is caused by a bacterial infection, specifically by recurrent urinary tract infections and previous ABP. Often, if type 1 prostatitis is not appropriately treated, it develops into type 2 prostatitis.   In this condition, the bacteria may form a biofilm that helps them adhere to tissues of the prostate gland. This gelatinous film also protects the bacteria from antibiotics and immune system attacks.    The symptoms of type 2 prostatitis include:, Sexual problems such as erectile dysfunction or pelvic pain after sex, Malaise (generalized feeling of being unwell), Lower back pain and pain on ejaculation, Lower urinary tract symptoms (LUTS) like urgency, frequency, and dysuria (burning sensation), Fever, Infertility, Difficulty in passing urine, Type 4 prostatitis is asymptomatic, i.e., it has no condition indicating symptoms. There may be some mild inflammation within the prostate gland.  Here are a few common causes of frequent urination and why you should not ignore this symptom. Read Here!, Type 3 prostatitis is the most common prostatitis. It is called sterile prostatitis because it is not caused by bacterial infection, and so it does not have type 1 and type 2 symptoms like increased urgency and frequency of urination.   Chronic sterile inflammation is caused by the obstruction of the urinary bladder outlet or by reflux of urine within the prostate gland due to enlarged prostate or some stone in the way.  Symptoms are similar to type 2 prostatitis but also include:, Sexual dysfunction, An enlarged or tender prostate on rectal examination","Treatment for prostatitis varies based on the cause and type. Treatment is not required for asymptomatic inflammatory prostatitis.

Your healthcare practitioner may use a method called UPOINT to categorize symptoms of chronic pelvic pain syndrome (CPPS) and may utilize many treatments at the same time to address only the symptoms you're experiencing.

With the UPOINT method, the condition of over 80% of males with CPPS has improved. The method is focused on these symptoms and treatments:",https://www.1mg.com/diseases/prostatitis-924
Breast cancer,,"Both men and women, but more common in women",Breast,"Presence of a lump in the breasts that feels different from the rest of the breast tissue, Changes in the size, shape, or appearance of the breast, Skin dimpling or the appearance of folds on breast skin, Pain around the breasts, Inverted, painful, or enlarged nipple, Discharge or bleeding from the nipple, Swollen lymph nodes (in the underarms and around the collarbone) may indicate that the cancer has spread., Quality cancer care should never be left to uncertainty. At Tata 1mg, we're here to walk with you, offering trusted support, guidance, and resources every step of the way. Explore Cancer Care Platform, Although breast cancer may not show symptoms in the early stage, here are some of the common signs and symptoms of breast cancer every woman needs to be aware of:","Breast cancer varies in type and growth rate, so treatment must be tailored to each patient’s unique profile. Some common treatment options include:",https://www.1mg.com/diseases/breast-cancer-134
Lung cancer,,Both men and women,"Bronchi
Lungs
Lymph nodes
Heart
Spine","Finger clubbing (thickening and rounding of the fingertips), Thrombocytosis (excessive production of platelets), Hoarseness, Diagnosis of cancer can be life-changing. We at Tata 1mg have curated a platform to access quality care and help you sail through this journey. Explre Cancer Care Platform, Spotting blood in cough, Wheezing, Swelling of the face and veins, Swelling of lymph nodes around and above the collarbone, Persistent or recurrent chest infection, A persistent cough that doesn't go away, Trouble in breathing, Loss of appetite, Tiredness, Headache, Bone pain, Losing weight for no evident reason, Like other cancers, the symptoms of lung cancer become more evident in the later stages of the disease than in earlier stages. Patients usually notice these symptoms when the disease advances to the higher stages. A few symptoms seen in lung cancer include the following., Chest pain, Shortness of breath, Trouble during swallowing","Cancer treatment is based on its stage and extent, determined through tests like PET scans, CT, and MRI, with options tailored to your health and specific needs. Treatment options include:",https://www.1mg.com/diseases/lung-cancer-218
Atopic dermatitis,,Both men and women,"Skin
Hands
Inner elbows
Neck
Ankles
Feet
Eyes","Patchy and dry skin (Xerosis), Signs and symptoms of atopic dermatitis can vary based on age and racial factors. The most common symptoms include:, Persistent eczema, often on hands, feet, or around the eyes., Thickening and hardening of skin, Itching, redness, rashes, Blisters that ooze and crust over, Creases and discolored skin beneath lower eyelids (Dennie-Morgan folds) in children, Higher risk of skin infections",,https://www.1mg.com/diseases/atopic-dermatitis-232
Arthritis,,Both men and women,"Hands and Wrists
Elbow joint
Shoulders joint
Hip joint 
Knee joint
Ankles and feet","Swelling: Some types of arthritis cause the skin over the affected joint to become red and swollen, feeling warm to the touch. Swelling that lasts for three days or longer or occurs more than three times a month should prompt a visit to the doctor., Pain: Pain from arthritis can be constant or it may come and go. It may occur when at rest or while moving. Pain may be in one part of the body or in many different parts., Difficulty in mobility: If you find it hard or painful to get up from your favorite chair, or after sitting in a single position for a long time, then it could be a warning sign of arthritis., While it is difficult to know for sure if your joint pain is due to arthritis or not, based on the symptoms, there are certain signs that usually indicate you should consult a doctor. The four key signs include:, Stiffness: This is a classic arthritis symptom, especially when waking up in the morning or after sitting at a desk or riding in a car for a long time. Morning stiffness that lasts longer than an hour is a good reason to suspect arthritis.","Physiotherapy is recommended to keep joints supple and flexible. Exercise can help in strengthening the muscles around the affected joint and prevent further damage. Options include stretching exercises, exercises that provide a range of motion, low-impact aerobic exercises such as walking, cycling.",https://www.1mg.com/diseases/arthritis-117
Vaginal bleeding between periods,,Women,"Vagina 
Cervix 
Uterus",Bleeding or spotting between periods can be associated with the following signs and symptoms:,,https://www.1mg.com/diseases/vaginal-bleeding-between-periods-986
Common cold,,Both men and women,"Nose
Throat
Sinuses","The cold or common cold, as the name suggests, is so common that according to studies, an average adult gets 4-6 colds per year, whereas children get 6-8 colds in a year.  A cold is most commonly characterised by the following symptoms:","There is no definitive treatment available against colds caused due to the invasion of viruses. For such cases, medications are considered helpful but they can only provide relief from the symptoms. Here are some common treatment options suggested by professionals in case of cold.",https://www.1mg.com/diseases/common-cold-589
